PS1,PS2,PS3,PS4,PS5,PS6,FS1,FS2,TS1,TS2,TS3,TS4,P1,VS1,CE1,CP1,SE1,STABILITY
160.6734917,109.4669135,1.991475333,0,9.8421695,9.7280975,6.709815,10.30459167,35.62198333,40.97876667,38.47101667,31.74525,2538.929167,0.57695,39.60135,1.86275,59.15718333,1
160.60332,109.3548903,1.976234333,0,9.635142167,9.529487833,6.715315,10.40309833,36.67696667,41.53276667,38.97896667,34.49386667,2531.4989,0.56585,25.78643333,1.25555,59.33561667,1
160.34772,109.1588447,1.972224,0,9.530547833,9.427948833,6.718521667,10.36625,37.8808,42.44245,39.63195,35.64615,2519.928,0.576533333,22.21823333,1.113216667,59.54315,1
160.1880883,109.0648072,1.9465755,0,9.438826667,9.3374295,6.720565,10.30267833,38.87905,43.40398333,40.40338333,36.57946667,2511.541633,0.569266667,20.45981667,1.06215,59.7949,1
160.0004717,108.9314343,1.922707,0,9.358762,9.260636167,6.690308333,10.23775,39.80391667,44.33275,41.31055,37.4279,2503.4495,0.577366667,19.78701667,1.070466667,59.45526667,1
159.92021,108.8876817,1.9132845,0,9.301159667,9.206877,6.699023333,10.17872,40.65945,45.17061667,42.12411667,38.21206667,2501.007067,0.572683333,19.14968333,1.072083333,59.56333333,1
159.672675,108.6764655,1.888099667,0,9.233941833,9.143320167,6.698573333,10.14081,41.46363333,45.94723333,42.88811667,38.9321,2494.4169,0.573033333,18.66638333,1.081683333,59.7899,1
159.6144517,108.6517447,1.874894167,0,9.194159167,9.105058167,6.678026667,10.09597833,42.21526667,46.66523333,43.51988333,39.55896667,2489.421533,0.572,18.17843333,1.0787,59.59061667,1
159.475745,108.5297385,1.858120333,0,9.144616167,9.057066833,6.671651667,10.03971,42.89198333,47.33943333,44.20125,40.08053333,2484.419067,0.567066667,18.33486667,1.115083333,59.60888333,1
159.4379967,108.5108852,1.841063333,0,9.1048315,9.019264667,6.65999,9.997761667,43.53283333,47.98141667,44.79713333,40.61255,2480.434867,0.571683333,18.20573333,1.129133333,59.47373333,1
159.3217567,108.4378517,1.832484,0,9.068216833,8.983758167,6.659208333,9.964415,44.10611667,48.58626667,45.36508333,41.1002,2478.7949,0.5687,18.11201667,1.14535,59.58435,1
159.2351133,108.3167815,1.825662333,0,9.023033667,8.940413,6.663306667,9.931453333,44.6385,49.11421667,45.92148333,41.56785,2472.2732,0.57815,18.06883333,1.164583333,59.75818333,1
159.1351483,108.2410797,1.815894833,0,8.981116667,8.9016205,6.655926667,9.914133333,45.1596,49.60216667,46.39106667,42.03833333,2467.228833,0.584233333,17.74228333,1.162966667,59.73681667,1
159.0873517,108.2140368,1.807515,0,8.9482145,8.870686667,6.66541,9.89123,45.62873333,50.06426667,46.86816667,42.43971667,2465.307167,0.588566667,17.67815,1.1799,59.91648333,1
158.9858233,108.1274033,1.8038095,0,8.915401333,8.8407555,6.669133333,9.856931667,46.05918333,50.50908333,47.31826667,42.79893333,2461.772333,0.582466667,17.77883333,1.201866667,60.04731667,1
158.86424,108.0385117,1.8023995,0,8.890655333,8.816202,6.649888333,9.835401667,46.46225,50.91523333,47.70863333,43.15196667,2459.511367,0.582366667,17.69236667,1.207383333,59.8111,1
158.8196417,107.981409,1.793656333,5.00E-07,8.889613167,8.813412333,6.649658333,9.799335,46.83956667,51.29886667,48.06265,43.44553333,2458.1661,0.5849,17.72151667,1.219616667,59.86661667,1
158.79358,107.9549878,1.794947833,0,8.8617665,8.786334667,6.639613333,9.779605,47.15218333,51.6532,48.44433333,43.73203333,2455.588233,0.593083333,17.82015,1.242183333,59.76801667,1
158.6506883,107.8369867,1.793454667,0,8.8365825,8.762949167,6.660111667,9.760646667,47.46976667,51.9964,48.74018333,44.044,2452.299767,0.6039,17.55598333,1.235316667,60.0963,1
158.5953983,107.7622072,1.800354167,0,8.815813667,8.7445195,6.64878,9.741035,47.75106667,52.31358333,49.08618333,44.30386667,2448.326333,0.60335,17.66436667,1.256116667,60.0189,1
158.61717,107.7940893,1.800437333,0,8.8195605,8.751074833,6.638245,9.695861667,48.0262,52.58476667,49.34715,44.49848333,2444.721633,0.618666667,17.73416667,1.266883333,59.94155,1
158.5706033,107.739285,1.797500667,0,8.829950667,8.7603445,6.644133333,9.656905,48.27095,52.84005,49.62603333,44.66851667,2441.7758,0.6307,17.94261667,1.2905,60.1872,1
158.5325217,107.7301787,1.791380833,0,8.833388333,8.763845667,6.636838333,9.632158333,48.49956667,53.06208333,49.85611667,44.85526667,2438.7712,0.621733333,17.95565,1.297683333,60.08256667,1
158.5090117,107.7301693,1.792493167,0,8.8250945,8.7546255,6.63277,9.616863333,48.71131667,53.25635,50.07588333,45.05455,2437.650633,0.625033333,17.92951667,1.302283333,59.9592,1
158.4446083,107.7120508,1.7926175,0,8.814211,8.743425167,6.63475,9.606636667,48.91953333,53.4621,50.26948333,45.20803333,2437.126767,0.6333,17.96076667,1.310466667,60.04371667,1
158.3362817,107.5921353,1.738895167,0,8.799729,8.7305495,6.647125,9.595623333,49.11003333,53.67381667,50.52235,45.32215,2434.6056,0.636116667,18.28901667,1.3448,60.35078333,1
158.2650867,107.5167617,1.731176,0,8.796408833,8.727123833,6.634791667,9.57423,49.31875,53.87058333,50.7212,45.49631667,2432.505433,0.637733333,18.26821667,1.348583333,60.21648333,1
158.2519383,107.4839847,1.740612833,0,8.7914385,8.722814,6.64688,9.554103333,49.49523333,54.0596,50.9105,45.53816667,2432.652367,0.6267,18.6461,1.383416667,60.43135,1
158.0904267,107.3484508,1.740557667,0,8.7816525,8.7142685,6.64119,9.5382,49.66363333,54.20558333,51.06533333,45.77081667,2428.3547,0.63505,18.25821667,1.359416667,60.35935,1
157.950735,107.2348865,1.734965,0,8.778931667,8.7114815,6.644685,9.530806667,49.82441667,54.38483333,51.16253333,45.79908333,2425.844033,0.633966667,18.43156667,1.375566667,60.39046667,1
157.955,107.223577,1.737401,0,8.7708895,8.7042615,6.62911,9.521891667,49.92826667,54.48656667,51.35018333,45.93225,2425.472067,0.637783333,18.57785,1.390933333,60.14688333,1
157.9004283,107.179437,1.733439,0,8.76322,8.698755833,6.624546667,9.50547,50.03428333,54.60176667,51.49528333,46.07305,2424.278467,0.6266,18.48383333,1.3873,60.0647,1
157.9692617,107.2408153,1.737158,0,8.758904833,8.694084833,6.641248333,9.495528333,50.16913333,54.72258333,51.57951667,46.08381667,2424.365967,0.63425,18.74293333,1.408466667,60.37018333,1
157.8799283,107.1295302,1.7336915,0,8.752250333,8.6876855,6.63251,9.488206667,50.28476667,54.86733333,51.73011667,46.20785,2423.3834,0.635183333,18.70531667,1.411616667,60.20711667,1
157.8344733,107.0896337,1.732460167,0,8.742353667,8.6785535,6.635743333,9.473755,50.38808333,54.98786667,51.8691,46.36218333,2421.6704,0.651733333,18.63385,1.406133333,60.33853333,1
157.7994867,107.0746445,1.725165333,0,8.745542833,8.682093667,6.625091667,9.465456667,50.50148333,55.0898,51.95345,46.35541667,2421.085567,0.64185,18.90718333,1.428666667,60.19851667,1
157.76861,107.0159038,1.7241555,0,8.743158667,8.6798235,6.622036667,9.46188,50.59571667,55.21276667,52.05933333,46.48551667,2421.494433,0.6413,18.78136667,1.420816667,60.00498333,1
